distrito_pr,distrito,populacao_total,ano,tamanho_em_ha,tamanho_em_m2,tamanho_em_km2,razao_residentes_0_4,razao_residentes_5_9,razao_residentes_10_14,razao_residentes_15_19,razao_residentes_20_24,razao_residentes_25_29,razao_residentes_30_34,razao_residentes_35_39,razao_residentes_40_44,razao_residentes_45_49,razao_residentes_50_54,razao_residentes_55_59,razao_residentes_60_64,razao_residentes_65_69,razao_residentes_70_74,razao_residentes_75_79,razao_residentes_80_84,razao_residentes_85_89,razao_residentes_90_94,razao_residentes_95_99,razao_residentes_100
bela vista,Bela Vista,72182,2017,260.0,2600000,"2,6",0.03882810250503887,0.034725021595162685,0.03780593147135042,0.049366541894615604,0.09978404837316442,0.13242153757558306,0.11043766196372012,0.08188885689605528,0.0698531528937518,0.06510221710336885,0.06213648142816009,0.05643535847970055,0.046515980420385836,0.033112582781456956,0.026835588828102504,0.022113446587964297,0.017506478548805066,0.010048949035416067,0.003469622804491794,0.001050964583933199,2.3034840195796142E-4
bela vista,Bela Vista,72543,2018,260.0,2600000,"2,6",0.03882810250503887,0.034725021595162685,0.03780593147135042,0.049366541894615604,0.09978404837316442,0.13242153757558306,0.11043766196372012,0.08188885689605528,0.0698531528937518,0.06510221710336885,0.06213648142816009,0.05643535847970055,0.046515980420385836,0.033112582781456956,0.026835588828102504,0.022113446587964297,0.017506478548805066,0.010048949035416067,0.003469622804491794,0.001050964583933199,2.3034840195796142E-4
bela vista,Bela Vista,72897,2019,260.0,2600000,"2,6",0.03882810250503887,0.034725021595162685,0.03780593147135042,0.049366541894615604,0.09978404837316442,0.13242153757558306,0.11043766196372012,0.08188885689605528,0.0698531528937518,0.06510221710336885,0.06213648142816009,0.05643535847970055,0.046515980420385836,0.033112582781456956,0.026835588828102504,0.022113446587964297,0.017506478548805066,0.010048949035416067,0.003469622804491794,0.001050964583933199,2.3034840195796142E-4
bela vista,Bela Vista,73243,2020,260.0,2600000,"2,6",0.03882810250503887,0.034725021595162685,0.03780593147135042,0.049366541894615604,0.09978404837316442,0.13242153757558306,0.11043766196372012,0.08188885689605528,0.0698531528937518,0.06510221710336885,0.06213648142816009,0.05643535847970055,0.046515980420385836,0.033112582781456956,0.026835588828102504,0.022113446587964297,0.017506478548805066,0.010048949035416067,0.003469622804491794,0.001050964583933199,2.3034840195796142E-4
bela vista,Bela Vista,73590,2021,260.0,2600000,"2,6",0.03882810250503887,0.034725021595162685,0.03780593147135042,0.049366541894615604,0.09978404837316442,0.13242153757558306,0.11043766196372012,0.08188885689605528,0.0698531528937518,0.06510221710336885,0.06213648142816009,0.05643535847970055,0.046515980420385836,0.033112582781456956,0.026835588828102504,0.022113446587964297,0.017506478548805066,0.010048949035416067,0.003469622804491794,0.001050964583933199,2.3034840195796142E-4
bom retiro,Bom Retiro,39058,2017,400.0,4000000,4,0.0632302608285141,0.06151894252330933,0.0658562492623628,0.06783311695975451,0.10028915378260357,0.10745898737165113,0.09810574766906645,0.07506196152484362,0.06821668830402455,0.061489437035288565,0.05470317479051103,0.04720878083323498,0.03437389354419922,0.026259884338486958,0.02628938982650773,0.01870647940516936,0.013720051929658916,0.006668240292694441,0.002330933553640977,6.196152484362091E-4,5.901097604154373E-5
bom retiro,Bom Retiro,39837,2018,400.0,4000000,4,0.0632302608285141,0.06151894252330933,0.0658562492623628,0.06783311695975451,0.10028915378260357,0.10745898737165113,0.09810574766906645,0.07506196152484362,0.06821668830402455,0.061489437035288565,0.05470317479051103,0.04720878083323498,0.03437389354419922,0.026259884338486958,0.02628938982650773,0.01870647940516936,0.013720051929658916,0.006668240292694441,0.002330933553640977,6.196152484362091E-4,5.901097604154373E-5
bom retiro,Bom Retiro,40627,2019,400.0,4000000,4,0.0632302608285141,0.06151894252330933,0.0658562492623628,0.06783311695975451,0.10028915378260357,0.10745898737165113,0.09810574766906645,0.07506196152484362,0.06821668830402455,0.061489437035288565,0.05470317479051103,0.04720878083323498,0.03437389354419922,0.026259884338486958,0.02628938982650773,0.01870647940516936,0.013720051929658916,0.006668240292694441,0.002330933553640977,6.196152484362091E-4,5.901097604154373E-5
bom retiro,Bom Retiro,41428,2020,400.0,4000000,4,0.0632302608285141,0.06151894252330933,0.0658562492623628,0.06783311695975451,0.10028915378260357,0.10745898737165113,0.09810574766906645,0.07506196152484362,0.06821668830402455,0.061489437035288565,0.05470317479051103,0.04720878083323498,0.03437389354419922,0.026259884338486958,0.02628938982650773,0.01870647940516936,0.013720051929658916,0.006668240292694441,0.002330933553640977,6.196152484362091E-4,5.901097604154373E-5
bom retiro,Bom Retiro,42243,2021,400.0,4000000,4,0.0632302608285141,0.06151894252330933,0.0658562492623628,0.06783311695975451,0.10028915378260357,0.10745898737165113,0.09810574766906645,0.07506196152484362,0.06821668830402455,0.061489437035288565,0.05470317479051103,0.04720878083323498,0.03437389354419922,0.026259884338486958,0.02628938982650773,0.01870647940516936,0.013720051929658916,0.006668240292694441,0.002330933553640977,6.196152484362091E-4,5.901097604154373E-5
